module_id,module_name,tag,meaning_zh,meaning_en,file,status
S02,VIDEO_EDITING,PLAY,播放,Play,S02/S02-10_PLAY.png,PROCESSED
S02,VIDEO_EDITING,PAUSE,暂停,Pause,S02/S02-11_PAUSE.png,PROCESSED
S02,VIDEO_EDITING,EXPORT,导出,Export,S02/S02-12_EXPORT.png,PROCESSED
S03,AUDIO_VOICE,VOICE,人声,Voice,S03/S03-01_VOICE.png,PROCESSED
S03,AUDIO_VOICE,RECORD,录音,Record,S03/S03-02_RECORD.png,PROCESSED
S03,AUDIO_VOICE,DUB,配音,Dub,S03/S03-03_DUB.png,PROCESSED
S03,AUDIO_VOICE,MUSIC,音乐,Music,S03/S03-04_MUSIC.png,PROCESSED
S03,AUDIO_VOICE,SFX,音效,Sfx,S03/S03-05_SFX.png,PROCESSED
S03,AUDIO_VOICE,WAVEFORM,波形,Waveform,S03/S03-06_WAVEFORM.png,PROCESSED
S03,AUDIO_VOICE,MIX,混音,Mix,S03/S03-07_MIX.png,PROCESSED
S03,AUDIO_VOICE,DUCK,压低背景音乐,Duck,S03/S03-08_DUCK.png,PROCESSED
S03,AUDIO_VOICE,SYNC,声音同步,Sync,S03/S03-09_SYNC.png,PROCESSED
S03,AUDIO_VOICE,CLEAN,清理噪声,Clean,S03/S03-10_CLEAN.png,PROCESSED
S03,AUDIO_VOICE,LOUDNESS,响度,Loudness,S03/S03-11_LOUDNESS.png,PROCESSED
S03,AUDIO_VOICE,MASTER,母带处理,Master,S03/S03-12_MASTER.png,PROCESSED
S04,DIRECTOR_STORY,IDEA,创意,Idea,S04/S04-01_IDEA.png,PROCESSED
S04,DIRECTOR_STORY,HOOK,开头钩子,Hook,S04/S04-02_HOOK.png,PROCESSED
S04,DIRECTOR_STORY,STORY,故事结构,Story,S04/S04-03_STORY.png,PROCESSED
S04,DIRECTOR_STORY,SHOT,镜头,Shot,S04/S04-04_SHOT.png,PROCESSED
S04,DIRECTOR_STORY,SCENE,场景,Scene,S04/S04-05_SCENE.png,PROCESSED
S04,DIRECTOR_STORY,BEAT,节奏点,Beat,S04/S04-06_BEAT.png,PROCESSED
S04,DIRECTOR_STORY,PACE,节奏速度,Pace,S04/S04-07_PACE.png,PROCESSED
S04,DIRECTOR_STORY,MOOD,情绪氛围,Mood,S04/S04-08_MOOD.png,PROCESSED
S04,DIRECTOR_STORY,REVEAL,揭示,Reveal,S04/S04-09_REVEAL.png,PROCESSED
S04,DIRECTOR_STORY,CTA,行动引导,Cta,S04/S04-10_CTA.png,PROCESSED
S04,DIRECTOR_STORY,TITLE,标题,Title,S04/S04-11_TITLE.png,PROCESSED
S04,DIRECTOR_STORY,SCRIPT,脚本,Script,S04/S04-12_SCRIPT.png,PROCESSED
S05,DESIGN_LAYOUT,LAYOUT,版式,Layout,S05/S05-01_LAYOUT.png,PROCESSED
S05,DESIGN_LAYOUT,TYPE,字体,Type,S05/S05-02_TYPE.png,PROCESSED
S05,DESIGN_LAYOUT,COLOR,色彩,Color,S05/S05-03_COLOR.png,PROCESSED
S05,DESIGN_LAYOUT,GRID,网格,Grid,S05/S05-04_GRID.png,PROCESSED
S05,DESIGN_LAYOUT,FOCUS,视觉焦点,Focus,S05/S05-05_FOCUS.png,PROCESSED
S05,DESIGN_LAYOUT,BALANCE,平衡,Balance,S05/S05-06_BALANCE.png,PROCESSED
S05,DESIGN_LAYOUT,CONTRAST,对比,Contrast,S05/S05-07_CONTRAST.png,PROCESSED
S05,DESIGN_LAYOUT,HIERARCHY,信息层级,Hierarchy,S05/S05-08_HIERARCHY.png,PROCESSED
S05,DESIGN_LAYOUT,BRAND,品牌,Brand,S05/S05-09_BRAND.png,PROCESSED
S05,DESIGN_LAYOUT,COVER,封面,Cover,S05/S05-10_COVER.png,PROCESSED
S05,DESIGN_LAYOUT,POSTER,海报,Poster,S05/S05-11_POSTER.png,PROCESSED
S05,DESIGN_LAYOUT,POLISH,精修,Polish,S05/S05-12_POLISH.png,PROCESSED
S06,ANIMATION_MOTION,MOTION,运动,Motion,S06/S06-01_MOTION.png,PROCESSED
S06,ANIMATION_MOTION,SPRING,弹性,Spring,S06/S06-02_SPRING.png,PROCESSED
S06,ANIMATION_MOTION,FLOAT,漂浮,Float,S06/S06-03_FLOAT.png,PROCESSED
S06,ANIMATION_MOTION,SWIPE,滑动,Swipe,S06/S06-04_SWIPE.png,PROCESSED
S06,ANIMATION_MOTION,SCALE,缩放,Scale,S06/S06-05_SCALE.png,PROCESSED
S06,ANIMATION_MOTION,ROTATE,旋转,Rotate,S06/S06-06_ROTATE.png,PROCESSED
S06,ANIMATION_MOTION,BLUR,模糊,Blur,S06/S06-07_BLUR.png,PROCESSED
S06,ANIMATION_MOTION,GLOW,发光,Glow,S06/S06-08_GLOW.png,PROCESSED
S06,ANIMATION_MOTION,BURST,爆发,Burst,S06/S06-09_BURST.png,PROCESSED
S06,ANIMATION_MOTION,REACT,交互响应,React,S06/S06-10_REACT.png,PROCESSED
S06,ANIMATION_MOTION,EASE,缓动,Ease,S06/S06-11_EASE.png,PROCESSED
S06,ANIMATION_MOTION,LOOP,循环动效,Loop,S06/S06-12_LOOP.png,PROCESSED
S07,WORKFLOW_AUTOMATION,INBOX,待处理入口,Inbox,S07/S07-01_INBOX.png,PROCESSED
S07,WORKFLOW_AUTOMATION,PLAN,计划,Plan,S07/S07-02_PLAN.png,PROCESSED
S07,WORKFLOW_AUTOMATION,RUN,运行,Run,S07/S07-03_RUN.png,PROCESSED
S07,WORKFLOW_AUTOMATION,QUEUE,队列,Queue,S07/S07-04_QUEUE.png,PROCESSED
S07,WORKFLOW_AUTOMATION,ROUTE,路由,Route,S07/S07-05_ROUTE.png,PROCESSED
S07,WORKFLOW_AUTOMATION,TRIGGER,触发器,Trigger,S07/S07-06_TRIGGER.png,PROCESSED
S07,WORKFLOW_AUTOMATION,BATCH,批量,Batch,S07/S07-07_BATCH.png,PROCESSED
S07,WORKFLOW_AUTOMATION,APPROVE,批准,Approve,S07/S07-08_APPROVE.png,PROCESSED
S07,WORKFLOW_AUTOMATION,DONE,完成,Done,S07/S07-09_DONE.png,PROCESSED
S07,WORKFLOW_AUTOMATION,REUSE,复用,Reuse,S07/S07-10_REUSE.png,PROCESSED
S07,WORKFLOW_AUTOMATION,SYNC,同步,Sync,S07/S07-11_SYNC.png,PROCESSED
S07,WORKFLOW_AUTOMATION,AUTOMATE,自动化,Automate,S07/S07-12_AUTOMATE.png,PROCESSED
S08,REVIEW_QUALITY,CHECK,检查,Check,S08/S08-01_CHECK.png,PROCESSED
S08,REVIEW_QUALITY,REVIEW,复核,Review,S08/S08-02_REVIEW.png,PROCESSED
S08,REVIEW_QUALITY,FIX,修复,Fix,S08/S08-03_FIX.png,PROCESSED
S08,REVIEW_QUALITY,PASS,通过,Pass,S08/S08-04_PASS.png,PROCESSED
S08,REVIEW_QUALITY,FAIL,失败,Fail,S08/S08-05_FAIL.png,PROCESSED
S08,REVIEW_QUALITY,QA,质量保证,Qa,S08/S08-06_QA.png,PROCESSED
S08,REVIEW_QUALITY,READABLE,可读,Readable,S08/S08-07_READABLE.png,PROCESSED
S08,REVIEW_QUALITY,SAFE,安全,Safe,S08/S08-08_SAFE.png,PROCESSED
S08,REVIEW_QUALITY,CLEAN,干净,Clean,S08/S08-09_CLEAN.png,PROCESSED
S08,REVIEW_QUALITY,ALIGN,对齐,Align,S08/S08-10_ALIGN.png,PROCESSED
S08,REVIEW_QUALITY,FINAL,终稿,Final,S08/S08-11_FINAL.png,PROCESSED
S08,REVIEW_QUALITY,PROOF,证明,Proof,S08/S08-12_PROOF.png,PROCESSED
S09,PRODUCT_TECH,BUILD,构建,Build,S09/S09-01_BUILD.png,PROCESSED
S09,PRODUCT_TECH,CODE,代码,Code,S09/S09-02_CODE.png,PROCESSED
S09,PRODUCT_TECH,APP,应用,App,S09/S09-03_APP.png,PROCESSED
S09,PRODUCT_TECH,API,接口,Api,S09/S09-04_API.png,PROCESSED
S09,PRODUCT_TECH,UI,界面,Ui,S09/S09-05_UI.png,PROCESSED
S09,PRODUCT_TECH,DATA,数据,Data,S09/S09-06_DATA.png,PROCESSED
S09,PRODUCT_TECH,STACK,技术栈,Stack,S09/S09-07_STACK.png,PROCESSED
S09,PRODUCT_TECH,DEPLOY,部署,Deploy,S09/S09-08_DEPLOY.png,PROCESSED
S09,PRODUCT_TECH,DEBUG,调试,Debug,S09/S09-09_DEBUG.png,PROCESSED
S09,PRODUCT_TECH,VERSION,版本,Version,S09/S09-10_VERSION.png,PROCESSED
S09,PRODUCT_TECH,SHIP,交付,Ship,S09/S09-11_SHIP.png,PROCESSED
S09,PRODUCT_TECH,UPDATE,更新,Update,S09/S09-12_UPDATE.png,PROCESSED
S10,PUBLISH_GROWTH,PUBLISH,发布,Publish,S10/S10-01_PUBLISH.png,PROCESSED
S10,PUBLISH_GROWTH,POST,帖子,Post,S10/S10-02_POST.png,PROCESSED
S10,PUBLISH_GROWTH,SHARE,分享,Share,S10/S10-03_SHARE.png,PROCESSED
S10,PUBLISH_GROWTH,SAVE,收藏,Save,S10/S10-04_SAVE.png,PROCESSED
S10,PUBLISH_GROWTH,FOLLOW,关注,Follow,S10/S10-05_FOLLOW.png,PROCESSED
S10,PUBLISH_GROWTH,TEST,测试,Test,S10/S10-06_TEST.png,PROCESSED
S10,PUBLISH_GROWTH,METRIC,指标,Metric,S10/S10-07_METRIC.png,PROCESSED
S10,PUBLISH_GROWTH,REACH,触达,Reach,S10/S10-08_REACH.png,PROCESSED
S10,PUBLISH_GROWTH,LEAD,线索,Lead,S10/S10-09_LEAD.png,PROCESSED
S10,PUBLISH_GROWTH,OFFER,产品或报价,Offer,S10/S10-10_OFFER.png,PROCESSED
S10,PUBLISH_GROWTH,CONVERT,转化,Convert,S10/S10-11_CONVERT.png,PROCESSED
S10,PUBLISH_GROWTH,GROW,增长,Grow,S10/S10-12_GROW.png,PROCESSED
