module_id,module_name,tag,meaning_zh,preview_file,status
S07,WORKFLOW_AUTOMATION,DONE,完成,modules/07-workflow-automation/S07-09_DONE.png,PREVIEW
S07,WORKFLOW_AUTOMATION,REUSE,复用,modules/07-workflow-automation/S07-10_REUSE.png,PREVIEW
S07,WORKFLOW_AUTOMATION,SYNC,同步,modules/07-workflow-automation/S07-11_SYNC.png,PREVIEW
S07,WORKFLOW_AUTOMATION,AUTOMATE,自动化,modules/07-workflow-automation/S07-12_AUTOMATE.png,PREVIEW
S08,REVIEW_QUALITY,CHECK,检查,modules/08-review-quality/S08-01_CHECK.png,PREVIEW
S08,REVIEW_QUALITY,REVIEW,复核,modules/08-review-quality/S08-02_REVIEW.png,PREVIEW
S08,REVIEW_QUALITY,FIX,修复,modules/08-review-quality/S08-03_FIX.png,PREVIEW
S08,REVIEW_QUALITY,PASS,通过,modules/08-review-quality/S08-04_PASS.png,PREVIEW
S08,REVIEW_QUALITY,FAIL,失败,modules/08-review-quality/S08-05_FAIL.png,PREVIEW
S08,REVIEW_QUALITY,QA,质量保证,modules/08-review-quality/S08-06_QA.png,PREVIEW
S08,REVIEW_QUALITY,READABLE,可读,modules/08-review-quality/S08-07_READABLE.png,PREVIEW
S08,REVIEW_QUALITY,SAFE,安全,modules/08-review-quality/S08-08_SAFE.png,PREVIEW
S08,REVIEW_QUALITY,CLEAN,干净,modules/08-review-quality/S08-09_CLEAN.png,PREVIEW
S08,REVIEW_QUALITY,ALIGN,对齐,modules/08-review-quality/S08-10_ALIGN.png,PREVIEW
S08,REVIEW_QUALITY,FINAL,终稿,modules/08-review-quality/S08-11_FINAL.png,PREVIEW
S08,REVIEW_QUALITY,PROOF,证明,modules/08-review-quality/S08-12_PROOF.png,PREVIEW
S09,PRODUCT_TECH,BUILD,构建,modules/09-product-tech/S09-01_BUILD.png,PREVIEW
S09,PRODUCT_TECH,CODE,代码,modules/09-product-tech/S09-02_CODE.png,PREVIEW
S09,PRODUCT_TECH,APP,应用,modules/09-product-tech/S09-03_APP.png,PREVIEW
S09,PRODUCT_TECH,API,接口,modules/09-product-tech/S09-04_API.png,PREVIEW
S09,PRODUCT_TECH,UI,界面,modules/09-product-tech/S09-05_UI.png,PREVIEW
S09,PRODUCT_TECH,DATA,数据,modules/09-product-tech/S09-06_DATA.png,PREVIEW
S09,PRODUCT_TECH,STACK,技术栈,modules/09-product-tech/S09-07_STACK.png,PREVIEW
S09,PRODUCT_TECH,DEPLOY,部署,modules/09-product-tech/S09-08_DEPLOY.png,PREVIEW
S09,PRODUCT_TECH,DEBUG,调试,modules/09-product-tech/S09-09_DEBUG.png,PREVIEW
S09,PRODUCT_TECH,VERSION,版本,modules/09-product-tech/S09-10_VERSION.png,PREVIEW
S09,PRODUCT_TECH,SHIP,交付,modules/09-product-tech/S09-11_SHIP.png,PREVIEW
S09,PRODUCT_TECH,UPDATE,更新,modules/09-product-tech/S09-12_UPDATE.png,PREVIEW
S10,PUBLISH_GROWTH,PUBLISH,发布,modules/10-publish-growth/S10-01_PUBLISH.png,PREVIEW
S10,PUBLISH_GROWTH,POST,帖子,modules/10-publish-growth/S10-02_POST.png,PREVIEW
S10,PUBLISH_GROWTH,SHARE,分享,modules/10-publish-growth/S10-03_SHARE.png,PREVIEW
S10,PUBLISH_GROWTH,SAVE,收藏,modules/10-publish-growth/S10-04_SAVE.png,PREVIEW
S10,PUBLISH_GROWTH,FOLLOW,关注,modules/10-publish-growth/S10-05_FOLLOW.png,PREVIEW
S10,PUBLISH_GROWTH,TEST,测试,modules/10-publish-growth/S10-06_TEST.png,PREVIEW
S10,PUBLISH_GROWTH,METRIC,指标,modules/10-publish-growth/S10-07_METRIC.png,PREVIEW
S10,PUBLISH_GROWTH,REACH,触达,modules/10-publish-growth/S10-08_REACH.png,PREVIEW
S10,PUBLISH_GROWTH,LEAD,线索,modules/10-publish-growth/S10-09_LEAD.png,PREVIEW
S10,PUBLISH_GROWTH,OFFER,产品或报价,modules/10-publish-growth/S10-10_OFFER.png,PREVIEW
S10,PUBLISH_GROWTH,CONVERT,转化,modules/10-publish-growth/S10-11_CONVERT.png,PREVIEW
S10,PUBLISH_GROWTH,GROW,增长,modules/10-publish-growth/S10-12_GROW.png,PREVIEW
